"Player","Team","Position","Rk","Status","Opponent","Salary","Score","% Owned","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"Sekou Doumbouya","DET","SF,PF,F,Flx","262","FA","","1.00","2.36","20%","0%","4","2.8","0.8","1.5",".500","0.0","0.3",".000","0.0","0.5","0.0","0.0","0.0","0.0","1.5"
"Nassir Little","POR","SF,F,Flx","263","FA","NY Tue 10:00PM","1.00","23.72","20%","-0.4%","17","15.2","1.7","4.2",".408","0.8","1.2",".650","0.3","3.5","0.5","0.4","0.4","0.5","4.5"
"Moe Harkless","LAC","SF,PF,F,Flx","264","FA","","1.00","45.27","19%","-1.8%","25","23.2","2.3","4.7",".483","0.5","1.0",".500","0.6","3.5","1.1","1.0","0.8","0.8","5.7"
"Malik Beasley","DEN","PG,SG,G,SF,F,Flx","265","FA","@PHI Tue 8:00PM","1.00","24.13","18%","-0.7%","17","15.9","2.4","6.4",".380","0.4","0.4",".857","1.2","1.5","1.1","0.5","0.1","0.9","6.4"
"Jake Layman","MIN","SG,G,SF,PF,F,Flx","266","FA","","1.00","31.5","18%","-0.6%","14","26.3","4.4","9.4",".462","0.4","0.7",".600","1.4","2.9","0.8","0.9","0.7","1.3","10.5"
"Chris Boucher","TOR","PF,F,C,Flx","267","FA","","1.00","35.4","18%","-3.5%","20","12.0","1.9","4.3",".453","1.0","1.4",".690","0.5","4.3","0.5","0.3","0.8","0.4","5.4"
"Terence Davis","TOR","SG,G,Flx","268","D","","1.00","38.35","18%","-1.7%","23","15.6","2.4","4.9",".487","0.6","0.7",".933","1.1","3.0","1.9","0.4","0.3","0.8","6.5"
"Jeff Green","UTA","SF,PF,F,Flx","269","FA","","1.00","46.17","18%","-0.4%","24","19.0","2.6","6.6",".399","1.8","2.3",".796","1.3","2.8","0.6","0.4","0.4","1.0","8.3"
"Derrick Jones Jr.","MIA","SF,F,Flx","270","FA","ATL Tue 8:00PM","1.00","13.05","17%","-0.5%","9","14.6","1.8","3.8",".471","0.8","1.1",".700","0.2","2.2","0.8","0.8","0.2","0.7","4.6"
"Cory Joseph","SAC","PG,G,Flx","271","FA","","1.00","44.83","17%","-2.5%","23","26.4","2.3","6.4",".365","0.7","0.7","1.000","0.5","2.6","4.0","0.9","0.5","1.3","5.9"
"Darius Bazley","OKC","SF,PF,F,Flx","272","FA","","1.00","30.63","17%","-0.2%","23","17.1","1.4","3.7",".388","0.5","0.8",".611","0.7","3.8","0.5","0.3","0.4","0.8","4.0"
"Meyers Leonard","MIA","PF,F,C,Flx","273","FA","ATL Tue 8:00PM","1.00","36.05","17%","-1%","23","18.5","2.3","4.0",".582","0.2","0.4",".556","0.9","4.3","0.9","0.3","0.4","0.8","5.7"
"Tacko Fall","BOS","C,Flx","274","FA","","1.00","2.18","17%","-0.2%","1","3.6","2.0","4.0",".500","0.0","0.0","0","0.0","3.0","0.0","0.0","0.0","1.0","4.0"
"Rodions Kurucs","BKN","SF,PF,F,Flx","275","FA","","1.00","8.52","17%","-0.4%","10","9.9","0.9","2.3",".391","0.2","0.6",".333","0.3","2.2","0.1","0.5","0.0","1.2","2.3"
"Avery Bradley","LAL","PG,SG,G,Flx","276","FA","","1.00","21.85","17%","-0.1%","10","27.4","4.1","8.4",".488","0.6","0.8",".750","0.8","3.2","1.8","1.0","0.1","1.1","9.6"
"Emmanuel Mudiay","UTA","PG,G,Flx","277","FA","","1.00","35.3","17%","-0.5%","21","15.7","2.8","6.0",".465","1.0","1.3",".815","0.4","2.5","2.4","0.3","0.2","1.8","7.1"
"Daniel Gafford","CHI","C,Flx","278","FA","","1.00","20.1","16%","-0.4%","16","10.5","2.0","2.7",".744","0.6","1.3",".476","0.0","1.8","0.1","0.1","0.9","0.1","4.6"
"Ty Jerome","PHO","PG,G,Flx","279","FA","","1.00","8.89","16%","-1.8%","5","13.3","1.2","3.6",".333","0.4","0.4","1.000","0.6","1.6","2.4","1.6","0.0","1.2","3.4"
"Mario Hezonja","POR","SG,G,SF,F,Flx","280","FA","NY Tue 10:00PM","1.00","32.1","16%","-0.5%","21","17.2","1.6","4.5",".351","1.0","1.2",".840","0.5","4.4","1.0","0.6","0.1","0.9","4.6"
"Shabazz Napier","MIN","PG,SG,G,Flx","281","FA","","1.00","27.57","16%","-0.5%","11","18.0","2.5","6.4",".386","1.9","2.2",".875","1.0","2.1","3.3","1.1","0.3","1.8","7.8"
"Romeo Langford","BOS","PG,SG,G,Flx","282","FA","","1.00","1.17","16%","-0.1%","1","0.2","0.0","0.0","0","0.0","0.0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dion Waiters","MIA","SG,G,SF,F,Flx","283","FA","ATL Tue 8:00PM","1.00","0","16%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alex Caruso","LAL","SG,G,Flx","284","FA","","1.00","37.77","16%","-0.1%","22","20.6","2.2","4.9",".449","0.6","0.9",".650","0.7","2.0","2.0","1.1","0.3","1.0","5.7"
"Hamidou Diallo","OKC","SG,G,Flx","285","FA","","1.00","26.68","15%","-1.1%","12","21.4","3.8","7.7",".500","0.9","1.5",".611","0.2","3.8","0.8","1.5","0.3","1.2","8.8"
"Dylan Windler","CLE","SF,F,Flx","286","FA","","1.00","0","15%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Rivers","HOU","PG,SG,G,Flx","287","FA","","1.00","41.91","15%","-1.4%","22","24.9","3.0","7.4",".414","0.9","1.3",".714","1.4","2.7","1.5","0.5","0.2","0.7","8.4"
"T.J. McConnell","IND","PG,G,Flx","288","FA","","1.00","37.32","15%","-1.4%","22","17.4","3.0","6.1",".481","0.5","0.5",".909","0.0","2.7","4.8","0.5","0.2","1.5","6.4"
"Skal Labissiere","POR","PF,F,C,Flx","289","FA","NY Tue 10:00PM","1.00","42.93","15%","-2.3%","24","16.6","2.6","4.5",".574","0.6","0.9",".682","0.1","5.0","1.1","0.3","1.0","1.0","5.9"
"Robin Lopez","MIL","C,Flx","290","FA","","1.00","32.72","15%","-1.2%","24","14.4","2.0","4.3",".471","0.4","0.7",".588","0.5","2.8","0.7","0.2","0.7","1.2","5.0"
"Zhaire Smith","PHI","SG,G,Flx","291","FA","DEN Tue 8:00PM","1.00","0","15%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keita Bates-Diop","MIN","SF,F,Flx","292","FA","","1.00","21.54","14%","-2.6%","12","19.1","2.9","5.6",".522","0.5","0.8",".600","1.4","2.8","0.7","0.3","0.5","0.4","7.8"
"Nicolo Melli","NO","PF,F,Flx","293","FA","","1.00","36.38","14%","-1.4%","22","15.5","1.9","4.5",".414","0.9","1.1",".792","1.0","2.7","1.1","0.6","0.2","0.8","5.6"
"DeMarre Carroll","SA","SF,PF,F,Flx","294","FA","","1.00","12.04","14%","-0.4%","11","10.9","0.6","2.3",".280","0.9","1.3",".714","0.3","2.6","0.9","0.2","0.2","0.8","2.5"
"Boban Marjanovic","DAL","C,Flx","295","FA","","1.00","20.81","14%","-0.5%","10","13.1","3.1","5.6",".554","1.3","1.6",".813","0.0","5.5","0.7","0.2","0.3","0.9","7.5"
"Damion Lee","GS","SG,G,Flx","296","FA","","1.00","28.74","14%","-0.9%","11","21.9","3.2","8.3",".385","2.5","3.0",".848","1.1","3.9","1.8","0.7","0.0","1.2","10.0"
"Bismack Biyombo","CHA","PF,F,C,Flx","297","FA","WAS Tue 7:00PM","1.00","45.74","14%","-5.6%","23","16.6","2.9","5.1",".568","1.7","3.0",".565","0.0","4.3","0.8","0.3","0.7","0.7","7.5"
"Trey Lyles","SA","PF,F,Flx","298","FA","","1.00","34.65","14%","-0.3%","23","17.3","1.7","3.8",".432","0.2","0.4",".556","0.8","6.1","1.3","0.3","0.3","0.8","4.3"
"Chuma Okeke","ORL","PF,F,Flx","299","TM2","","1.00","0","14%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Allonzo Trier","NY","SG,G,Flx","300","FA","@POR Tue 10:00PM","1.00","21.88","14%","-0.3%","11","12.9","2.2","4.2",".522","2.1","2.5",".821","1.1","1.5","1.3","0.2","0.3","1.5","7.5"
"Ed Davis","UTA","PF,F,C,Flx","301","FA","","1.00","13.5","14%","-0.3%","12","12.2","0.8","1.7",".450","0.3","0.5",".500","0.0","4.5","0.4","0.4","0.5","0.8","1.8"
"Taj Gibson","NY","PF,F,C,Flx","302","FA","@POR Tue 10:00PM","1.00","32.16","14%","-0.8%","21","16.4","2.4","4.6",".521","0.4","0.7",".600","0.1","4.4","1.2","0.7","0.2","0.7","5.3"
"Furkan Korkmaz","PHI","SG,G,Flx","303","FA","DEN Tue 8:00PM","1.00","40.36","14%","-1.8%","23","22.8","3.1","7.3",".423","0.7","0.9",".810","1.7","2.3","0.9","0.3","0.2","0.8","8.6"
"Pat Connaughton","MIL","SG,G,SF,F,Flx","304","FA","","1.00","37.9","13%","-0.3%","22","17.9","2.1","4.4",".490","0.6","0.8",".765","0.8","4.0","1.9","0.4","0.5","0.6","5.7"
"Grayson Allen","MEM","SG,G,Flx","305","FA","","1.00","25.02","13%","-0.4%","13","18.9","2.9","7.1",".413","1.2","1.3",".882","1.2","2.9","1.5","0.4","0.1","1.2","8.2"
"Ersan Ilyasova","MIL","SF,PF,F,Flx","306","FA","","1.00","42.26","13%","-0.5%","22","15.8","2.6","5.4",".487","1.2","1.5",".818","0.8","4.7","0.6","0.5","0.3","0.3","7.3"
"Justin Jackson","DAL","SF,PF,F,Flx","307","FA","","1.00","28.29","13%","-0.2%","22","14.1","2.5","5.3",".466","0.5","0.6",".769","1.0","2.5","0.4","0.2","0.1","0.2","6.4"
"Noah Vonleh","MIN","PF,F,C,Flx","308","FA","","1.00","20.88","13%","-0.5%","16","11.3","1.3","2.7",".465","1.0","1.2",".842","0.1","3.4","1.0","0.3","0.2","0.8","3.6"
"Jordan Bell","MIN","PF,F,C,Flx","309","FA","","1.00","16.42","13%","-0.5%","13","9.6","1.4","2.5",".545","0.8","1.5",".579","0.0","3.5","0.6","0.0","0.5","1.1","3.6"
"Brad Wanamaker","BOS","PG,SG,G,Flx","310","FA","","1.00","43.58","13%","-1.1%","22","17.8","2.4","5.0",".468","2.0","2.3",".882","0.5","2.0","2.9","0.7","0.2","1.2","7.3"
"Tyler Johnson","PHO","PG,SG,G,Flx","311","FA","","1.00","32.07","12%","-1%","19","19.2","2.3","5.8",".396","0.9","1.3",".750","0.9","1.8","2.2","0.3","0.3","1.0","6.5"
"Luka Samanic","SA","PF,F,Flx","312","FA","","1.00","0","12%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bruno Caboclo","MEM","SF,PF,F,Flx","313","FA","","1.00","18.77","12%","-1.1%","15","10.7","1.7","3.9",".441","0.1","0.2",".667","0.3","2.3","0.5","0.5","0.7","0.5","3.9"
"Ante Zizic","CLE","C,Flx","314","FA","","1.00","9.61","12%","-0.2%","8","10.6","1.6","3.3",".500","0.6","0.8",".833","0.0","2.6","0.0","0.3","0.3","0.1","3.9"
"James Johnson","MIA","SF,PF,F,Flx","315","FA","ATL Tue 8:00PM","1.00","7.69","12%","-0.6%","6","11.3","1.3","3.0",".444","0.3","0.7",".500","0.3","1.8","0.7","0.5","0.3","0.7","3.3"
"Jordan McRae","WAS","PG,SG,G,Flx","316","FA","@CHA Tue 7:00PM","1.00","29.55","12%","-6.6%","13","18.1","3.3","7.0",".473","1.3","1.5",".895","1.0","2.4","2.8","0.6","0.3","1.1","8.9"
"Frank Jackson","NO","PG,G,Flx","317","FA","","1.00","32.72","12%","-0.6%","21","15.3","2.5","6.7",".371","1.2","1.5",".813","1.0","1.4","1.0","0.4","0.0","1.0","7.1"
"Keldon Johnson","SA","SF,F,Flx","318","FA","","1.00","1.17","11%","-0.1%","1","2.3","0.0","1.0",".000","0.0","0.0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nicolas Claxton","BKN","C,Flx","319","FA","","1.00","11.47","11%","-0.2%","9","13.2","1.2","2.3",".524","0.6","1.3",".417","0.0","2.4","1.2","0.1","0.6","0.7","3.0"
"Mfiondu Kabengele","LAC","C,Flx","320","FA","","1.00","6.89","11%","-0.3%","8","4.3","0.9","2.3",".389","0.4","0.4","1.000","0.5","0.8","0.1","0.1","0.1","0.1","2.6"
"Cheick Diallo","PHO","PF,F,C,Flx","321","FA","","1.00","23.65","11%","-2%","17","10.2","2.4","3.5",".695","0.9","1.0",".882","0.1","3.1","0.5","0.1","0.2","0.5","5.8"
"James Ennis III","PHI","SG,G,SF,F,Flx","322","FA","DEN Tue 8:00PM","1.00","44.57","11%","-1.9%","24","17.5","2.5","5.0",".496","1.5","1.9",".783","0.9","3.5","0.9","0.5","0.3","0.6","7.4"
"Guillermo Hernangomez","CHA","C,Flx","323","FA","WAS Tue 7:00PM","1.00","9.09","11%","-0.3%","8","7.5","1.1","2.8",".409","0.5","1.0",".500","0.3","2.6","0.3","0.1","0.4","0.6","3.0"
"Dzanan Musa","BKN","SF,F,Flx","324","FA","","1.00","26.76","11%","-0.6%","18","15.5","1.6","5.0",".322","1.2","1.6",".759","0.4","2.6","1.3","0.4","0.1","1.2","4.9"
"Mike Muscala","OKC","PF,F,C,Flx","325","FA","","1.00","17.85","11%","-0.3%","15","11.1","1.2","3.9",".310","0.5","0.5",".875","0.8","2.3","0.9","0.3","0.2","0.4","3.7"
"Gorgui Dieng","MIN","PF,F,C,Flx","326","FA","","1.00","34.9","11%","-0.6%","19","12.5","1.8","4.2",".430","0.6","0.8",".750","0.4","4.0","1.1","0.7","1.1","0.7","4.6"
"Tony Snell","DET","SG,G,SF,F,Flx","327","FA","","1.00","31.81","11%","-0.8%","20","25.4","2.8","6.0",".467","0.2","0.2","1.000","1.9","1.8","1.4","0.4","0.1","0.5","7.7"
"ETwaun Moore","NO","SG,G,SF,F,Flx","328","FA","","1.00","32.16","11%","-1.7%","16","20.4","3.7","8.8",".421","0.9","1.4",".636","1.3","3.2","1.4","0.5","0.1","0.7","9.6"
"Reggie Bullock","NY","SG,G,SF,F,Flx","329","FA","@POR Tue 10:00PM","1.00","0","11%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alfonzo McKinnie","CLE","PF,F,Flx","330","FA","","1.00","15.82","10%","-0.4%","17","10.3","1.0","2.9",".340","0.4","0.6",".636","0.5","2.1","0.2","0.4","0.2","0.5","2.9"
"Doug McDermott","IND","SF,PF,F,Flx","331","FA","","1.00","43.05","10%","-0.5%","24","20.7","3.5","7.6",".464","0.5","0.6",".867","1.8","2.8","1.2","0.1","0.2","0.8","9.5"
"Terrance Ferguson","OKC","SG,G,SF,F,Flx","332","FA","","1.00","27.48","10%","-0.6%","19","26.2","2.1","4.8",".424","0.4","0.5",".778","1.2","1.9","1.0","0.5","0.3","0.7","5.7"
"Isaac Bonga","WAS","SF,PF,F,Flx","333","FA","@CHA Tue 7:00PM","1.00","21.75","10%","-0.7%","17","15.5","1.5","2.9",".510","0.6","0.8",".769","0.2","2.5","1.4","0.6","0.2","0.5","3.8"
"Quinn Cook","LAL","PG,G,Flx","334","FA","","1.00","21.57","10%","-0.4%","20","13.4","2.1","4.9",".429","0.2","0.3",".800","0.6","1.1","1.5","0.3","0.1","0.8","5.0"
"Damyean Dotson","NY","SG,G,Flx","335","FA","@POR Tue 10:00PM","1.00","26.67","10%","-0.7%","19","15.6","2.3","5.6",".411","0.5","0.7",".769","1.0","1.6","1.0","0.5","0.2","0.6","6.2"
"Andre Iguodala","MEM","SG,G,SF,F,Flx","336","FA","","1.00","0","10%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ignas Brazdeikis","NY","SF,F,Flx","337","FA","@POR Tue 10:00PM","1.00","4.74","10%","-0.2%","6","7.0","0.8","3.2",".263","0.5","0.7",".750","0.2","0.7","0.2","0.0","0.2","0.3","2.3"
"Kyle Korver","MIL","SG,G,SF,F,Flx","338","FA","","1.00","26.19","10%","-0.4%","20","15.4","1.7","4.7",".362","0.5","0.6",".818","1.4","1.6","0.8","0.4","0.2","0.8","5.3"
"Dante Exum","UTA","PG,SG,G,Flx","339","FA","","1.00","7.75","9%","-0.5%","11","7.6","0.9","2.1",".435","0.2","0.2","1.000","0.2","1.1","0.6","0.1","0.2","0.9","2.2"
"Evan Turner","ATL","SG,G,SF,F,Flx","340","FA","@MIA Tue 8:00PM","1.00","21.59","9%","-0.2%","14","13.9","1.6","4.1",".397","0.9","1.0",".857","0.0","2.1","2.3","0.6","0.6","1.4","4.1"
"Sterling Brown","MIL","SG,G,SF,F,Flx","341","FA","","1.00","27.97","9%","-0.7%","16","16.5","2.0","4.8",".421","0.6","0.9",".667","1.0","4.8","1.4","0.6","0.1","1.0","5.6"
"Chandler Hutchison","CHI","SG,G,SF,F,Flx","342","FA","","1.00","19.31","9%","-0.6%","9","17.1","2.2","4.9",".455","2.1","3.2",".655","0.6","3.7","0.9","0.6","0.2","1.3","7.1"
"Admiral Schofield","WAS","SF,F,Flx","343","FA","@CHA Tue 7:00PM","1.00","6.68","9%","-0.2%","9","8.5","0.8","1.3",".583","0.4","0.4","1.000","0.4","1.2","0.1","0.0","0.0","0.3","2.4"
"Marko Guduric","MEM","SG,G,Flx","344","FA","","1.00","30.74","9%","-0.2%","23","15.1","2.0","5.0",".388","0.6","0.7",".867","0.7","2.0","1.4","0.3","0.2","1.0","5.2"
"Jacob Evans III","GS","SG,G,Flx","345","FA","","1.00","6.18","9%","-0.2%","4","13.6","1.5","4.0",".375","1.0","1.0","1.000","1.0","1.5","0.8","0.0","0.0","0.5","5.0"
"Marco Belinelli","SA","SG,G,SF,F,Flx","346","FA","","1.00","27.65","9%","-0.2%","21","16.2","1.9","5.9",".315","0.7","1.0",".714","1.0","1.7","1.5","0.2","0.0","0.4","5.4"
"Thon Maker","DET","PF,F,C,Flx","347","FA","","1.00","25.54","9%","-0.5%","22","10.4","1.0","2.0",".535","0.7","1.4",".516","0.3","1.7","0.4","0.3","0.6","0.5","3.1"
"Jevon Carter","PHO","PG,G,Flx","348","FA","","1.00","21.87","8%","-1%","16","14.1","1.4","3.4",".400","0.3","0.3","1.000","0.9","1.7","1.8","0.8","0.3","0.9","3.9"
"Juancho Hernangomez","DEN","SF,PF,F,Flx","349","FA","@PHI Tue 8:00PM","1.00","16.38","8%","-0.2%","14","14.9","1.5","4.1",".368","0.4","0.6",".556","0.9","2.6","0.8","0.1","0.2","0.6","4.2"
"Chris Silva","MIA","SG,G,PF,F,Flx","350","FA","ATL Tue 8:00PM","1.00","30.29","8%","-0.5%","21","9.9","1.4","2.1",".659","1.1","1.6",".706","0.0","4.0","0.6","0.2","0.7","1.2","3.9"
"Tony Bradley","UTA","C,Flx","351","FA","","1.00","22.51","8%","-0.5%","18","9.1","1.8","3.0",".611","0.6","0.9",".688","0.0","3.5","0.3","0.1","0.4","0.4","4.3"
"Trey Burke","PHI","PG,G,Flx","352","FA","DEN Tue 8:00PM","1.00","18.04","8%","-0.5%","9","16.9","2.8","6.4",".431","0.9","1.2",".727","0.7","1.4","3.4","0.8","0.1","0.4","7.1"
"Jerome Robinson","LAC","SG,G,Flx","353","FA","","1.00","21.26","8%","-0.7%","20","12.8","1.4","4.3",".333","0.3","0.5",".500","0.6","1.7","0.9","0.3","0.3","0.8","3.7"
"Treveon Graham","MIN","SG,G,SF,F,Flx","354","FA","","1.00","34.55","8%","-1.4%","22","22.0","2.1","6.2",".346","0.9","1.1",".792","0.6","3.5","1.0","0.6","0.1","0.6","5.7"
"TJ Leaf","IND","PF,F,Flx","355","FA","","1.00","19.03","8%","-1%","15","10.5","1.7","3.9",".448","0.3","0.5",".625","0.3","3.8","0.4","0.5","0.2","0.4","4.1"
"Mike Scott","PHI","PF,F,Flx","356","FA","DEN Tue 8:00PM","1.00","35.24","8%","-0.6%","24","18.8","2.3","5.2",".432","0.5","0.6",".800","1.1","3.4","0.8","0.3","0.1","0.4","6.1"
"Terance Mann","LAC","SF,F,Flx","357","FA","","1.00","15.27","8%","-0.3%","19","8.7","1.0","2.1",".487","0.4","0.4",".875","0.1","1.2","1.2","0.3","0.1","0.6","2.5"
"Svi Mykhailiuk","DET","SG,G,Flx","358","FA","","1.00","24.98","8%","-0.3%","19","17.1","1.9","4.5",".430","0.3","0.3",".833","1.5","1.2","1.3","0.4","0.1","0.9","5.7"
"Alen Smailagic","GS","PF,F,Flx","359","FA","","1.00","0","8%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C.J. Miles","WAS","SG,G,SF,F,Flx","360","FA","@CHA Tue 7:00PM","1.00","20.4","8%","-2%","10","16.1","1.9","5.9",".322","1.5","2.0",".750","1.1","1.2","1.2","1.0","0.4","0.4","6.4"
"Talen Horton-Tucker","LAL","SF,F,Flx","361","FA","","1.00","1.29","8%","-0.2%","1","2.5","0.0","1.0",".000","0.0","0.0","0","0.0","0.0","1.0","0.0","0.0","0.0","0.0"
"John Henson","CLE","PF,F,C,Flx","362","FA","","1.00","10.57","8%","-0.5%","5","11.8","2.2","4.2",".524","0.6","1.8",".333","0.0","2.8","1.0","0.8","1.2","1.0","5.0"
"Solomon Hill","MEM","SG,G,SF,F,Flx","363","FA","","1.00","38.74","8%","-1%","21","20.3","2.3","5.4",".421","0.5","0.9",".611","1.1","3.2","1.9","1.1","0.1","0.9","6.2"
"Allen Crabbe","ATL","SG,G,SF,F,Flx","364","FA","@MIA Tue 8:00PM","1.00","17.17","8%","-0.1%","11","19.2","2.2","5.6",".387","0.5","0.6",".714","1.0","2.6","0.9","0.6","0.2","0.5","5.8"
"Michael Carter-Williams","ORL","PG,G,Flx","365","FA","","1.00","24.05","8%","-0.2%","13","15.1","1.4","4.4",".316","1.5","1.8",".826","0.2","3.2","1.7","0.9","0.5","1.0","4.5"
"Cody Martin","CHA","SF,F,Flx","366","FA","WAS Tue 7:00PM","1.00","19.87","8%","-0.3%","17","11.3","0.9","2.5",".372","0.9","1.3",".682","0.1","2.1","1.1","0.8","0.1","0.4","2.8"
"Yogi Ferrell","SAC","PG,SG,G,Flx","367","FA","","1.00","28.92","7%","-0.5%","19","14.0","2.1","4.7",".449","1.3","1.5",".862","0.5","1.3","1.8","0.4","0.1","0.7","6.0"
"Denzel Valentine","CHI","SG,G,SF,F,Flx","368","FA","","1.00","16.41","7%","+0.1%","11","11.0","2.5","5.3",".466","0.0","0.0","0","1.6","1.9","1.0","0.4","0.2","0.3","6.5"
"Ryan Arcidiacono","CHI","PG,G,Flx","369","FA","","1.00","30.9","7%","-0.6%","25","15.7","1.3","3.5",".364","0.6","0.8",".750","0.9","1.6","1.6","0.5","0.1","0.7","4.0"
"Elie Okobo","PHO","PG,G,Flx","370","FA","","1.00","18.94","7%","-0.8%","16","9.5","1.3","3.3",".404","0.7","1.3",".524","0.6","0.9","2.4","0.3","0.0","0.3","3.9"
"Ian Mahinmi","WAS","C,Flx","371","FA","@CHA Tue 7:00PM","1.00","6.94","7%","-0.2%","2","15.3","3.0","4.5",".667","2.0","3.0",".667","0.0","5.5","1.0","0.0","1.5","1.5","8.0"
"D.J. Wilson","MIL","PF,F,Flx","372","FA","","1.00","12.83","7%","-0.4%","11","11.5","2.1","4.2",".500","0.1","0.1","1.000","0.9","2.3","0.8","0.0","0.1","0.5","5.2"
"Stanley Johnson","TOR","SG,G,SF,F,Flx","373","FA","","1.00","3.32","7%","-0.3%","5","3.8","0.6","1.8",".333","0.0","0.0","0","0.2","1.4","0.0","0.2","0.0","0.8","1.4"
"Patrick Patterson","LAC","PF,F,C,Flx","374","FA","","1.00","28.18","7%","-0.4%","22","14.0","1.6","4.2",".387","0.4","0.5",".667","1.4","2.7","0.8","0.2","0.1","0.3","5.0"
"Isaiah Hartenstein","HOU","PF,F,Flx","375","FA","","1.00","11.93","7%","-0.2%","8","12.1","1.4","1.9",".733","1.1","1.4",".818","0.0","3.3","0.5","0.3","0.5","0.8","3.9"
"Andre Roberson","OKC","SG,G,SF,F,Flx","376","FA","","1.00","0","7%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Torrey Craig","DEN","SG,G,SF,F,Flx","377","FA","@PHI Tue 8:00PM","1.00","16.59","6%","-0.9%","14","13.7","1.0","2.9",".341","0.3","0.6",".444","0.3","2.5","1.1","0.4","0.8","0.4","2.6"
"KZ Okpala","MIA","SF,F,Flx","378","FA","ATL Tue 8:00PM","1.00","1.26","6%","-0.1%","2","1.3","0.0","0.0","0","0.0","0.0","0","0.0","0.5","0.0","0.0","0.0","0.5","0.0"
"Edmond Sumner","IND","PG,G,Flx","379","FA","","1.00","7.77","6%","-0.5%","4","18.0","2.3","4.8",".474","0.8","1.3",".600","0.0","0.8","2.0","1.3","0.3","0.3","5.3"
"Gary Trent Jr.","POR","SG,G,Flx","380","FA","NY Tue 10:00PM","1.00","10.26","6%","-0.2%","11","8.5","1.4","3.0",".455","0.0","0.0","0","1.0","1.1","0.5","0.2","0.2","0.2","3.7"
"J.J. Barea","DAL","PG,SG,G,Flx","381","FA","","1.00","12.32","6%","-0.5%","6","14.1","3.3","7.5",".444","0.3","0.3","1.000","1.7","1.7","2.8","0.3","0.2","0.8","8.7"
"Shaquille Harrison","CHI","PG,SG,G,Flx","382","FA","","1.00","17.14","6%","-0.9%","15","8.9","1.2","3.0",".400","0.7","1.2",".611","0.2","1.8","1.3","0.4","0.3","0.4","3.3"
"Luke Kornet","CHI","PF,F,C,Flx","383","FA","","1.00","14.16","6%","-0.2%","13","10.4","1.2","3.5",".326","0.4","0.4","1.000","0.4","1.5","0.5","0.2","0.8","0.2","3.1"
"Kostas Antetokounmpo","LAL","SF,PF,F,Flx","384","FA","","1.00","1.26","6%","0%","2","1.4","0.0","0.0","0","0.0","0.0","0","0.0","0.5","0.0","0.0","0.0","0.0","0.0"
"Chris Clemons","HOU","PG,SG,G,Flx","385","FA","","1.00","14.74","6%","-0.5%","16","8.4","1.5","3.7",".407","0.2","0.3",".750","1.1","0.6","0.4","0.2","0.1","0.4","4.3"
"Tremont Waters","BOS","PG,G,Flx","386","FA","","1.00","4","6%","-0.4%","1","19.7","2.0","7.0",".286","2.0","2.0","1.000","1.0","2.0","3.0","1.0","2.0","2.0","7.0"
"Dragan Bender","MIL","PF,F,C,Flx","387","FA","","1.00","5.15","6%","-0.3%","3","9.7","2.0","2.7",".750","0.3","0.3","1.000","0.7","0.7","1.0","0.0","0.7","0.3","5.0"
"Kyle Guy","SAC","PG,G,Flx","388","FA","","1.00","0","6%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle OQuinn","PHI","PF,F,C,Flx","389","FA","DEN Tue 8:00PM","1.00","19.67","6%","-0.3%","14","10.5","1.6","3.1",".535","0.1","0.4",".333","0.4","3.9","1.4","0.1","0.8","1.1","3.8"
"Ivan Rabb","NY","PF,F,Flx","390","FA","@POR Tue 10:00PM","1.00","0","6%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Kidd-Gilchrist","CHA","SF,F,Flx","391","FA","WAS Tue 7:00PM","1.00","5.31","6%","-0.1%","3","13.7","1.7","6.0",".278","0.7","0.7","1.000","0.7","3.0","1.0","0.0","0.3","0.7","4.7"
"Semi Ojeleye","BOS","SF,PF,F,Flx","392","FA","","1.00","19.71","6%","-0.2%","22","14.8","1.0","2.4",".423","0.3","0.5",".700","0.5","1.9","0.4","0.5","0.0","0.2","2.9"
"Wayne Ellington","NY","SG,G,SF,F,Flx","393","FA","@POR Tue 10:00PM","1.00","19.86","6%","-0.5%","18","14.3","1.4","4.5",".321","0.2","0.3",".667","1.2","1.6","0.9","0.3","0.1","0.7","4.3"
