"Player","Team","Position","Rk","Status","Opponent","Salary","Score","% Owned","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"Jaylen Brown","BOS","SG,G,SF,F,Flx","54","BoM","","8.00","68.41","99%","0%","19","33.4","7.6","15.1",".502","2.8","3.9",".730","2.0","6.9","1.9","1.1","0.4","1.6","20.0"
"Paul George","LAC","SF,PF,F,Flx","55","BoM","","41.00","67.74","99%","-0.1%","14","29.7","7.7","17.3",".446","4.4","4.9",".912","4.1","6.4","3.6","1.4","0.4","3.4","23.9"
"Andrew Wiggins","MIN","SG,G,SF,F,Flx","56","Twats","","8.00","75.29","99%","0%","19","34.6","9.2","20.2",".453","4.0","5.5",".724","2.2","5.2","3.4","0.6","1.3","1.9","24.5"
"Wendell Carter Jr.","CHI","C,Flx","57","D","","17.00","66.3","99%","-0.1%","25","29.9","4.7","8.2",".568","2.8","3.9",".704","0.1","9.8","1.0","0.7","0.8","1.5","12.2"
"Marvin Bagley III","SAC","PF,F,Flx","58","TM2","","13.00","5.39","98%","-0.2%","1","27.7","6.0","16.0",".375","2.0","4.0",".500","0.0","10.0","0.0","1.0","1.0","1.0","14.0"
"John Collins","ATL","PF,F,C,Flx","59","Levine","@MIA Tue 8:00PM","8.00","25.1","98%","-0.1%","5","32.2","6.4","12.2",".525","2.4","3.4",".706","1.8","8.8","1.6","1.0","2.0","1.4","17.0"
"Ricky Rubio","PHO","PG,G,Flx","60","MARCO","","9.00","62.21","98%","-0.2%","18","31.6","4.5","11.7",".384","2.6","3.1",".821","1.1","4.8","9.2","1.3","0.2","1.9","12.7"
"Terry Rozier","CHA","PG,SG,G,Flx","61","BoM","WAS Tue 7:00PM","1.00","81.04","98%","-0.1%","25","32.7","6.2","14.3",".434","2.4","2.7",".868","2.8","4.4","4.2","1.2","0.2","2.8","17.5"
"Jonas Valanciunas","MEM","C,Flx","62","Levine","","8.00","63.69","98%","-0.1%","21","24.8","6.0","10.2",".581","1.8","2.3",".771","0.6","9.8","2.0","0.4","0.9","2.3","14.2"
"Danilo Gallinari","OKC","SF,PF,F,Flx","63","GOLD","","9.00","71.57","98%","0%","22","30.4","5.6","12.5",".446","4.4","4.8",".914","2.7","5.7","2.1","0.7","0.1","1.4","18.3"
"Tobias Harris","PHI","SF,PF,F,Flx","64","GAV","DEN Tue 8:00PM","14.00","80.14","98%","-0.2%","24","34.2","7.6","15.5",".488","2.6","3.3",".797","1.4","7.0","3.1","0.9","0.8","2.1","19.2"
"Jrue Holiday","NO","PG,SG,G,Flx","65","MARCO","","24.00","83.03","98%","-0.2%","22","35.9","7.9","17.5",".449","1.9","2.8",".672","1.7","5.0","6.6","2.0","0.7","3.2","19.3"
"Hassan Whiteside","POR","C,Flx","66","GREEK","NY Tue 10:00PM","8.00","71.11","98%","-0.1%","21","28.2","6.3","10.3",".608","2.8","3.7",".753","0.0","12.4","1.3","0.5","2.2","2.0","15.3"
"Blake Griffin","DET","PF,F,C,Flx","67","MARCO","","28.00","47.2","98%","+0.1%","12","29.4","5.8","14.4",".399","4.8","6.3",".773","1.8","4.9","3.3","0.4","0.3","2.8","18.2"
"Kyle Lowry","TOR","PG,G,Flx","68","GREEK","","24.00","57.01","98%","0%","12","37.3","5.9","14.0",".423","5.3","5.8",".900","3.1","4.8","6.9","1.1","0.4","3.2","20.2"
"Bojan Bogdanovic","UTA","SG,G,SF,PF,F,Flx","69","tRB","","4.00","73.66","98%","-0.5%","23","33.1","7.0","15.3",".456","3.5","4.0",".880","3.1","4.4","2.0","0.7","0.2","2.7","20.6"
"Aaron Gordon","ORL","SF,PF,F,Flx","70","Levine","","17.00","63.74","98%","-0.1%","20","31.1","5.0","11.8",".424","2.4","3.4",".716","1.3","6.8","2.9","0.7","0.5","1.4","13.7"
"RJ Barrett","NY","SG,G,SF,F,Flx","71","Twats","@POR Tue 10:00PM","16.00","70.23","98%","-0.8%","22","32.1","5.3","13.5",".395","2.7","5.0",".532","1.0","5.3","3.3","1.4","0.5","2.5","14.3"
"Kevin Love","CLE","PF,F,C,Flx","72","BoM","","21.00","68.14","98%","-0.3%","19","30.2","4.8","11.2",".429","3.9","4.5",".882","2.1","10.5","2.6","0.6","0.4","2.7","15.6"
"Spencer Dinwiddie","BKN","PG,SG,G,Flx","73","TM2","","6.00","77.28","98%","-0.1%","23","29.7","6.8","15.9",".426","5.2","6.1",".850","1.9","2.9","6.2","0.9","0.5","2.7","20.6"
"Lonzo Ball","NO","PG,G,Flx","74","Tim","","20.00","47.16","97%","-0.7%","16","28.8","3.9","10.3",".382","0.6","0.9",".714","2.1","4.5","5.6","1.1","0.4","2.6","10.6"
"Al Horford","PHI","PF,F,C,Flx","75","Nate","DEN Tue 8:00PM","19.00","75.38","97%","-0.6%","22","30.8","5.6","11.5",".490","1.1","1.7",".676","1.5","6.7","4.0","1.1","1.0","1.1","13.9"
"Josh Richardson","PHI","SG,G,SF,F,Flx","76","GAV","DEN Tue 8:00PM","11.00","56.87","97%","-0.6%","16","32.0","5.8","12.8",".456","2.5","3.1",".800","2.0","3.4","3.6","1.1","0.6","2.3","16.1"
"Jeremy Lamb","IND","SG,G,SF,F,Flx","77","GAV","","4.00","51.88","97%","-0.3%","15","32.4","6.1","12.9",".472","2.3","2.9",".795","1.3","5.3","2.6","1.1","0.5","1.4","15.7"
"Draymond Green","GS","PF,F,C,Flx","78","Nate","","25.00","53.14","97%","-0.5%","16","28.2","3.2","7.9",".405","1.8","2.4",".718","0.7","5.9","5.6","1.6","0.7","2.3","8.8"
"Chris Paul","OKC","PG,G,Flx","79","BoM","","26.00","76.67","97%","0%","23","31.0","5.3","11.6",".453","4.0","4.4",".892","1.5","4.1","5.9","1.7","0.1","1.7","16.0"
"Robert Covington","MIN","SF,PF,F,Flx","80","GOLD","","16.00","68.19","96%","-0.2%","22","27.8","4.2","9.2",".455","2.1","2.3",".902","2.0","5.3","1.1","1.3","0.9","1.5","12.5"
"Thomas Bryant","WAS","C,Flx","81","D","@CHA Tue 7:00PM","1.00","60.75","96%","-1.7%","18","28.4","5.6","10.2",".549","2.2","2.9",".736","0.6","8.5","2.7","0.4","1.0","1.3","13.9"
"Victor Oladipo","IND","PG,SG,G,Flx","82","D","","18.00","0","96%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Steven Adams","OKC","C,Flx","83","Nate","","25.00","61","96%","-0.2%","20","27.1","4.6","7.5",".617","1.6","3.0",".542","0.0","9.3","2.9","0.5","1.3","1.4","10.8"
"Khris Middleton","MIL","SG,G,SF,F,Flx","84","tRB","","30.00","59.57","96%","-0.2%","17","27.3","6.5","13.2",".489","2.5","2.8",".894","2.1","5.8","3.4","0.8","0.1","1.8","17.5"
"Mitchell Robinson","NY","C,Flx","85","BoM","@POR Tue 10:00PM","3.00","55.53","96%","-0.2%","19","21.2","3.6","5.3",".683","1.9","3.1",".627","0.0","6.7","0.6","0.7","1.9","0.8","9.2"
"Brook Lopez","MIL","C,Flx","86","GOLD","","7.00","67.53","95%","-0.7%","22","26.4","3.4","8.6",".395","1.9","2.0",".932","1.5","4.8","1.4","0.7","2.4","1.0","10.1"
"Gordon Hayward","BOS","SG,G,SF,F,Flx","87","BoM","","25.00","35.47","95%","0%","9","30.6","7.6","13.3",".567","1.8","2.1",".842","1.4","6.9","4.1","0.8","0.2","1.9","18.3"
"Mike Conley","UTA","PG,G,Flx","88","Levine","","21.00","63.17","95%","-0.8%","21","29.9","4.6","12.5",".369","2.8","3.5",".795","1.9","3.5","4.6","0.7","0.2","2.1","13.9"
"Evan Fournier","ORL","SG,G,SF,F,Flx","89","Tim","","1.00","73.9","94%","-0.2%","23","30.7","6.9","14.3",".483","3.4","4.0",".848","2.8","3.0","3.2","1.0","0.2","2.0","20.0"
"Stephen Curry","GS","PG,SG,G,Flx","90","D","","55.00","22.22","94%","-0.2%","4","28.0","6.8","16.5",".409","4.5","4.5","1.000","2.3","5.0","6.5","1.3","0.5","3.8","20.3"
"Caris LeVert","BKN","SG,G,SF,F,Flx","91","Tim","","1.00","32.85","94%","-0.4%","9","31.6","6.6","15.6",".421","2.2","3.4",".645","1.4","5.0","4.0","0.7","0.1","3.4","16.8"
"Tristan Thompson","CLE","PF,F,C,Flx","92","Twats","","1.00","70.16","94%","-0.2%","22","31.2","5.9","11.3",".520","1.9","3.4",".568","0.1","10.1","2.4","0.9","1.1","1.6","13.8"
"Collin Sexton","CLE","PG,SG,G,Flx","93","TM2","","9.00","62.64","94%","-1.1%","23","30.4","6.7","15.5",".430","2.9","3.6",".807","1.1","3.1","2.4","0.9","0.0","1.8","17.3"
"T.J. Warren","IND","SF,PF,F,Flx","94","Twats","","6.00","65.95","94%","-0.5%","24","33.0","7.4","14.5",".509","2.4","2.9",".829","1.3","3.5","1.0","1.1","0.3","1.4","18.4"
"Miles Bridges","CHA","SF,F,Flx","95","D","WAS Tue 7:00PM","8.00","65.75","94%","-1.4%","25","30.6","5.0","11.0",".451","1.2","1.5",".789","1.6","5.4","1.8","0.5","0.7","1.6","12.8"
"Dejounte Murray","SA","PG,G,Flx","96","GREEK","","3.00","57.86","93%","-1.5%","20","22.6","3.8","8.4",".452","1.9","2.4",".787","0.3","6.0","4.0","1.6","0.3","2.3","9.7"
"Bogdan Bogdanovic","SAC","SG,G,SF,F,Flx","97","D","","1.00","64.77","93%","-1.4%","21","27.4","5.0","12.4",".402","1.6","2.2",".717","2.6","2.8","4.2","1.2","0.1","1.8","14.2"
"Jabari Parker","ATL","SF,PF,F,Flx","98","Levine","@MIA Tue 8:00PM","1.00","73.06","92%","-1.1%","23","28.0","6.7","13.3",".502","1.8","2.5",".724","1.0","6.3","1.9","1.5","0.5","2.0","16.2"
"Marcus Smart","BOS","PG,SG,G,Flx","99","tRB","","9.00","61.56","92%","-0.9%","20","31.8","4.1","10.6",".387","1.4","1.6",".879","2.1","3.4","4.5","1.3","0.5","1.3","11.8"
"Jeff Teague","MIN","PG,G,Flx","100","Levine","","3.00","58.23","91%","-0.9%","19","29.2","4.2","9.6",".434","3.9","4.5",".860","0.9","2.7","6.9","0.9","0.3","2.3","13.1"
